date,News,source
2024-11-13,증시요약(1) - 코스피 마감시황,인포스탁
2024-11-13,"최윤범 ""1.4% 자사주 처분 계획은 미정...법원 결정 따라 임시주총 개최""",파이낸셜뉴스
2024-11-13,기업공시 [11월 13일],서울경제
2024-11-13,"최윤범 고려아연 회장 ""이사회 의장 사퇴""...유상증자 철회",이데일리
2024-11-13,"고려아연, 유상증자 철회…최윤범 ""이사회 의장직 내려놓을 것""",이투데이
2024-11-13,"최윤범 고려아연 회장, 주총 표대결 자신… ""절대 지지 않을 것 확신""",인포스탁
2024-11-13,"최윤범, 유상증자 발표로 인한 혼란에 사과…""이사회 의장직 내려놓고 경영권 지키기에 집중""",컨슈머타임스
2024-11-13,"유증 철회한 최윤범 고려아연 회장 ""이사회 의장직 내려놓겠다""",인포스탁
2024-11-13,[MBN골드] 11월 계좌 역전 기원 이벤트,매일경제
2024-11-13,[오늘의 주요 공시] 삼양식품ㆍ고려아연ㆍ한온시스템ㆍ한전KPSㆍ동양생명 등,이투데이
2024-11-13,"최윤범의 승부수, 주가만 뒤흔들었나…고려아연, 유상증자 철회에 14% 급락 [투자360]",헤럴드경제
2024-11-13,"최윤범 고려아연 회장 ""MBK·영풍의 적대적 M&A 막아달라""호소",뉴스핌
2024-11-13,"최윤범 회장 ""빠른 시일 내 의장직 내려놓겠다""",딜사이트
2024-11-13,"[속보] 최윤범 ""최대한 빨리 이사회 의장직 내려놓겠다""",한국경제
2024-11-13,[종합] 1년간 밸류업 뭐했나…‘2400선 코앞’ 코스피 정확히 1년만 가장 낮은 종가,이투데이
2024-11-13,"최윤범 고려아연 회장 ""이사회 의장 사퇴… 소액주주 경영참여 도입""(종합)",인포스탁
2024-11-13,고려아연 경영권 분쟁 끝났나...유증 철회에도 주가 14% 폭락,뉴스핌
2024-11-13,[코스피 마감]패닉셀링에 2.6% 폭락…4만전자 눈앞,이데일리
2024-11-13,하락률 상위 50선 - 코스피,조선비즈
2024-11-13,"[격랑의 고려아연] 최윤범 고려아연 회장, 의장직 내려놓는다",인포스탁
2024-11-13,"고려아연, 2조5000억 규모 유상증자 철회",컨슈머타임스
2024-11-13,"[전문]최윤범 고려아연 회장 ""이사회 의장직 내려 놓겠다""",머니투데이
2024-11-13,"고려아연, 유상증자 철회에 '재료소멸' 주가 14% 급락(종합)",연합뉴스
2024-11-13,"유상증자 철회한 최윤범 ""이사회 의장직 내려놓겠다"" [시그널]",서울경제
2024-11-13,"최윤범 회장, 고려아연 이사회 의장직 내려놓는다…""사외의사 의장 맡아 독립성 강화""",인포스탁
2024-11-13,코스피 하락률 상위 50종목,인포스탁
2024-11-13,"고려아연, 지배구조 개편키로...""이사회 독립성 강화·소액주주 보호""",뉴스핌
2024-11-13,"이사회 의장 내려놓는 최윤범 ""유증 추진에 혼란, 진심으로 사과""(상보)",아시아경제
2024-11-13,"최윤범 고려아연 회장, 이사회 의장직 사임…""이사회 독립성 강화""",컨슈머타임스
2024-11-13,"최윤범 고려아연 회장 ""이사회 의장직 내려놓을 것""",뉴스핌
2024-11-13,최윤범 “고려아연 이사회 의장직 내려놓을 것···사외이사가 맡도록 추진”,서울경제
2024-11-13,"최윤범 고려아연 회장 ""이사회 의장 내려 놓겠다… 사외이사에 맡길 것""(상보)",인포스탁
2024-11-13,"[전문] 최윤범 고려아연 회장 ""이사회 의장직 내려놓겠다...독립성 제고""",뉴스핌
2024-11-13,"최윤범, 고려아연 이사회 의장 물러난다… 분기 배당 추진",조선비즈
2024-11-13,고려아연(주) 주식선물 3단계 가격제한폭 확대요건 도달(하락),파생상품공시
2024-11-13,"[속보]고려아연 최윤범 ""빠른 시일 내 이사회 의장 물러난다""",아시아경제
2024-11-13,"MBK·영풍, “임시 주총에서 고려아연 거버넌스 재정립할 것”",헤럴드경제
2024-11-13,"MBK·영풍 ""고려아연 유상증자, 애초 진행 말았어야""",뉴스핌
2024-11-13,"MBK 영풍 ""고려아연 유증, 애시당초 진행 말았어야""",딜사이트
2024-11-13,"MBK ""고려아연 유상증자 뒤늦은 철회 안타깝다‥이사회 유명무실""",아시아경제
